cnpj,razao_social,nome_fantasia,uf,municipio,cep,data_abertura,situacao
03118068000168,,,,,,,
10572553000172,,,,,,,
21064506000215,,,,,,,
17547404000100,,,,,,,
04477860000171,,,,,,,
03711624000105,,,,,,,
66194002000177,,,,,,,
04078750000137,,,,,,,
07024608000103,,,,,,,
19791581000155,,,,,,,
00512777000135,,,,,,,
40432544000147,,,,,,,
40432544011262,,,,,,,
33000118000330,,,,,,,
34028316499744,,,,,,,
34028316801114,,,,,,,
21789243000120,,,,,,,
06135577000197,,,,,,,
04270788000107,,,,,,,
60537263089981,,,,,,,
13732489000138,,,,,,,
42591651052291,,,,,,,
04145988000138,,,,,,,
13574594041119,,,,,,,
21065345000101,,,,,,,
10920449000474,,,,,,,
04729515000188,,,,,,,
22520969000126,,,,,,,
06538499000171,,,,,,,
18544851000160,,,,,,,
18049497000106,,,,,,,
01928075001414,,,,,,,
17221477000108,,,,,,,
18553269000160,,,,,,,
27320958000116,,,,,,,
10841547001145,,,,,,,
05624686000105,,,,,,,
09247614000228,,,,,,,
23389208000140,,,,,,,
18626896000184,,,,,,,
17314329005270,,,,,,,
20246978000145,,,,,,,
18424753000190,,,,,,,
19815505000132,,,,,,,
03874046000128,,,,,,,
21553915000102,,,,,,,
08288786000104,,,,,,,
41856832000191,,,,,,,
02416490000137,,,,,,,
21447362000103,,,,,,,
18960914000160,,,,,,,
03910492000140,,,,,,,
65124307000735,,,,,,,
04090740000117,,,,,,,
16520801000118,,,,,,,
02800052000178,,,,,,,
11314208000100,,,,,,,
11800801000743,,,,,,,
16997066000138,,,,,,,
06098111000169,,,,,,,
38020285000103,,,,,,,
09554567000184,,,,,,,
04342845000116,,,,,,,
00065927000100,,,,,,,
06128392000155,,,,,,,
05330580000107,,,,,,,
02571820000169,,,,,,,
07721300000109,,,,,,,
04941389000120,,,,,,,
09400977000170,,,,,,,
03155753000164,,,,,,,
09326342000170,,,,,,,
18572225000188,,,,,,,
09461942000222,,,,,,,
17226218000161,,,,,,,
04925740000190,,,,,,,
16676520000159,,,,,,,
19025835000124,,,,,,,
19726048000100,,,,,,,
24891418000102,,,,,,,
18472288000162,,,,,,,
33050196000188,,,,,,,
22864335000190,,,,,,,
09227761000155,,,,,,,
03885952000128,,,,,,,
03660382000178,,,,,,,
43283811005976,,,,,,,
08314507000202,,,,,,,
01068563000184,,,,,,,
18796744000120,,,,,,,
02248675000180,,,,,,,
12463256000114,,,,,,,
10939971000155,,,,,,,
11406746000116,,,,,,,
49375694000130,,,,,,,
08520563000112,,,,,,,
09294408000198,,,,,,,
05470808000156,,,,,,,
06115524000104,,,,,,,
10665938000184,,,,,,,
11245759000150,,,,,,,
09215903000164,,,,,,,
16658260000199,,,,,,,
44128882000140,,,,,,,
00647440000135,,,,,,,
07745105000119,,,,,,,
45543915033195,,,,,,,
00306597007533,,,,,,,
00306597002906,,,,,,,
55715213000191,,,,,,,
19359115000103,,,,,,,
07064745000163,,,,,,,
60438538000104,,,,,,,
19046218001004,,,,,,,
02583776000107,,,,,,,
21262283000110,,,,,,,
21262303000152,,,,,,,
17630967000150,,,,,,,
00274989000121,,,,,,,
00413687000197,,,,,,,
00375386000116,,,,,,,
48445779000185,,,,,,,
07381769000146,,,,,,,
62409743000177,,,,,,,
62008628000190,,,,,,,
09382434000178,,,,,,,
65775892000148,,,,,,,
14700320000169,,,,,,,
53991956000169,,,,,,,
05304501000185,,,,,,,
64622699000104,,,,,,,
05122863000155,,,,,,,
27539260000196,,,,,,,
03768494000147,,,,,,,
04081079000183,,,,,,,
03255372000157,,,,,,,
05506560000136,,,,,,,
23425589000175,,,,,,,
19728554000138,,,,,,,
03210584000118,,,,,,,
40432544015764,,,,,,,
68101633000120,,,,,,,
51483956000122,,,,,,,
17214716000194,,,,,,,
13857922000161,,,,,,,
01766660000140,,,,,,,
74552068001353,,,,,,,
11341865000138,,,,,,,
16756328000172,,,,,,,
02905110020234,,,,,,,
02584924004014,,,,,,,
07405864000213,,,,,,,
01737429000129,,,,,,,
08372961000139,,,,,,,
60873288000483,,,,,,,
16963311000196,,,,,,,
62352182000117,,,,,,,
09060964007706,,,,,,,
09060964009318,,,,,,,
05681997000106,,,,,,,
09456178000116,,,,,,,
09456550000194,,,,,,,
09456704000148,,,,,,,
09438123000183,,,,,,,
61980272000190,,,,,,,
11401362000100,,,,,,,
21643624000105,,,,,,,
02993674000160,,,,,,,
72624877000164,,,,,,,
62149000000105,,,,,,,
62149000005174,,,,,,,
10871026000169,,,,,,,
21269028000107,,,,,,,
07676694000120,,,,,,,
09405789002260,,,,,,,
07976147013653,,,,,,,
17895646000187,,,,,,,
15843310000145,,,,,,,
00320523000115,,,,,,,
02921756000107,,,,,,,
02679185000138,,,,,,,
24866506000146,,,,,,,
04088208000165,,,,,,,
02380162000128,,,,,,,
06186606002002,,,,,,,
46710422000151,,,,,,,
04691966000173,,,,,,,
02509186000134,,,,,,,
17895646000268,,,,,,,
02366097000186,,,,,,,
